Number_of_announcements,Number_of_announced_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Number_of_duplicate_announcements,Maximum_edit_distance,Maximum_AS_path_length,Number_of_Interior_Gateway_Protocol_IGP_packets,Labels
295,4391,5,6,2763,5,11,278,Normal
96,186,7,7,73,1.7,16,90,Normal
130,311,8,8,71,2.3,21,129,Normal
131,220,8,8,70,2.3,23,129,Normal
141,264,7,7,95,2.6,21,141,Normal
70,125,7,7,32,1.3,24,69,Normal
80,137,5,5,44,1.4,13,72,Normal
75,125,6,7,32,1.4,14,73,Normal
120,215,7,7,67,2.2,11,118,Normal
86,164,7,7,62,1.5,13,82,Normal
76,159,7,7,53,1.4,11,72,Normal
158,341,6,6,194,2.8,15,156,Normal
182,478,7,7,121,3.2,16,170,Normal
245,919,7,8,212,4.3,15,231,Normal
214,697,6,6,442,3.7,13,203,Normal
215,934,8,8,371,3.7,14,202,Normal
529,1331,7,7,290,9,18,513,Normal
123,270,7,7,121,2.2,11,125,Normal
88,121,7,7,51,1.6,18,88,Normal
78,221,6,6,79,1.4,8,78,Normal
81,186,6,6,51,1.5,11,81,Normal
118,213,6,6,64,2.1,13,103,Normal
121,228,7,7,95,2.2,14,112,Normal
103,149,7,7,57,1.8,14,99,Normal
105,305,7,7,95,1.8,17,102,Normal
130,386,7,7,154,2.3,22,121,Normal
286,831,6,6,532,500,10,284,Normal
91,191,6,6,68,1.6,11,86,Normal
100,178,6,6,68,1.8,9,93,Normal
121,216,6,6,73,2.1,15,118,Normal
135,229,6,7,76,2.5,16,134,Normal
460,1103,8,8,398,7.9,14,443,Normal
426,912,7,7,258,7.2,15,421,Normal
918,2446,6,6,750,15,15,895,Normal
153,273,6,7,124,2.7,12,149,Normal
318,716,6,6,205,5.4,12,311,Normal
278,1439,6,6,47,4.7,12,259,Normal
575,3520,5,6,128,9.7,19,553,Normal
644,3022,6,6,180,10,20,614,Normal
282,995,6,6,157,4.8,19,276,Normal
151,286,7,6,93,2.7,17,144,Normal
159,303,6,6,107,2.7,11,143,Normal
98,177,6,6,58,1.7,18,93,Normal
126,208,7,7,87,2.2,18,124,Normal
138,204,6,6,50,2.5,10,134,Normal
182,444,6,6,174,3.2,19,178,Normal
191,479,6,7,288,3.4,19,177,Normal
113,154,8,8,52,2,19,109,Normal
101,178,6,6,63,1.8,17,103,Normal
111,187,6,6,71,2,15,108,Normal
274,579,6,6,188,4.7,14,267,Normal
322,1432,6,6,537,5.7,14,314,Normal
369,1234,6,6,674,6.4,14,364,Normal
240,529,6,6,188,4.2,12,236,Normal
159,267,7,7,112,2.8,11,159,Normal
139,250,7,7,127,2.5,15,133,Normal
125,232,7,7,90,2.2,14,114,Normal
148,322,7,8,191,2.6,19,140,Normal
143,300,7,7,103,2.5,22,140,Normal
143,225,7,7,84,2.5,15,132,Normal
221,358,7,7,140,3.9,17,206,Normal
371,1285,7,7,525,6.3,21,350,Normal
161,287,6,7,133,2.8,12,158,Normal
95,116,6,6,41,1.7,9,92,Normal
113,149,6,6,49,2,12,95,Normal
112,224,7,7,70,2,18,103,Normal
98,202,6,6,58,1.8,15,92,Normal
172,410,6,6,152,3,13,161,Normal
130,261,5,5,126,2.3,8,120,Normal
117,328,6,6,96,2.1,16,106,Normal
120,444,7,6,181,2.1,15,108,Normal
180,487,7,6,162,3.1,17,171,Normal
285,1146,6,6,479,4.9,16,275,Normal
128,351,6,6,140,2.3,16,126,Normal
11874,72637,5,5,36754,198,21,11872,Normal
116,214,6,7,84,2.1,22,114,Normal
95,246,6,6,94,1.7,15,91,Normal
7118,43212,5,5,22124,118,20,7117,Normal
67,93,7,7,24,1.2,12,67,Normal
132,290,7,7,75,2.3,12,130,Normal
153,337,6,6,145,2.7,13,149,Normal
59,113,6,6,44,1.1,14,59,Normal
104,228,7,7,140,1.9,13,100,Normal
89,112,6,6,32,1.5,11,86,Normal
68,94,6,6,32,1.2,9,67,Normal
61,126,6,6,43,1.2,11,60,Normal
48,60,6,7,16,0.9,15,46,Normal
60,176,6,6,74,1.1,14,62,Normal
68,200,7,7,92,1.2,14,63,Normal
65,79,6,6,32,1.1,14,55,Normal
70,102,5,5,54,1.3,9,67,Normal
72,110,6,6,38,1.2,14,72,Normal
140,274,6,6,108,2.4,11,132,Normal
59,196,6,6,72,1.1,10,48,Normal
83,143,6,6,44,1.5,14,72,Normal
72,120,6,6,39,1.3,13,63,Normal
90,176,6,6,48,1.6,14,80,Normal
64,120,5,5,49,1.2,8,61,Normal
90,166,5,5,92,1.6,7,84,Normal
78,142,5,5,45,1.4,13,77,Normal
115,185,6,6,73,2,12,112,Normal
88,188,6,6,47,1.7,14,86,Normal
257,1428,6,6,145,4.4,17,240,Normal
241,455,7,7,162,4.2,18,236,Normal
267,810,7,7,180,4.7,14,262,Normal
365,1311,7,7,215,6.4,14,348,Normal
305,910,7,7,277,5.3,12,295,Normal
126,320,6,6,156,2.2,11,123,Normal
114,288,6,6,78,2.1,16,112,Normal
129,236,6,6,69,2.3,18,128,Normal
131,374,7,7,133,2.3,20,125,Normal
95,222,7,6,69,1.7,17,95,Normal
106,183,6,6,62,1.9,21,98,Normal
126,218,6,6,60,2.2,13,123,Normal
339,586,7,7,170,5.8,22,333,Normal
193,369,7,8,149,3.4,22,187,Normal
136,290,7,7,103,2.4,18,134,Normal
113,257,6,6,87,200,16,111,Normal
132,266,6,6,79,2.3,14,123,Normal
277,620,6,6,111,4.7,12,258,Normal
388,1642,5,5,123,6.6,13,370,Normal
162,378,7,7,156,2.8,11,161,Normal
110,147,6,6,44,2,11,105,Normal
90,147,6,6,47,1.6,11,88,Normal
86,230,6,6,89,1.5,13,83,Normal
74,117,6,6,54,1.3,15,72,Normal
73,142,6,6,21,1.3,14,68,Normal
166,302,6,7,77,300,11,160,Normal
305,597,7,8,279,5.3,27,281,Normal
184,446,7,7,174,3.2,13,173,Normal
184,319,7,7,80,3.2,13,175,Normal
201,481,8,8,191,3.6,18,193,Normal
97,206,7,7,93,1.8,18,94,Normal
115,271,7,7,64,2.1,22,108,Normal
167,533,7,7,175,2.9,22,162,Normal
124,367,7,7,131,2.2,14,123,Normal
148,463,6,7,276,2.6,22,143,Normal
123,250,6,7,149,2.2,22,115,Normal
147,241,6,6,95,2.6,22,140,Normal
69,122,6,6,29,1.3,13,69,Normal
146,400,6,6,142,2.5,15,143,Normal
141,221,7,7,61,2.5,15,141,Normal
98,201,7,7,85,1.8,12,97,Normal
124,301,7,7,104,2.1,14,120,Normal
109,308,7,6,123,1.9,12,109,Normal
99,225,6,6,104,1.8,13,99,Normal
152,231,6,6,82,2.7,12,147,Normal
124,255,6,6,105,2.2,15,119,Normal
101,273,6,6,103,1.8,9,88,Normal
104,217,6,7,64,1.9,12,102,Normal
97,150,6,6,61,1.7,12,96,Normal
90,181,5,5,81,1.6,8,79,Normal
91,187,7,7,43,1.6,18,90,Normal
238,374,6,6,128,4.1,17,238,Normal
166,268,6,6,91,2.9,24,166,Normal
181,332,7,7,101,3.2,26,173,Normal
130,242,8,8,73,2.3,26,123,Normal
123,273,7,7,137,2.1,17,118,Normal
74,122,7,7,43,1.4,17,74,Normal
71,112,6,6,39,1.3,11,70,Normal
85,117,6,6,48,1.5,16,76,Normal
70,91,6,6,31,1.3,11,66,Normal
69,113,6,6,43,1.2,9,69,Normal
113,199,6,6,55,2,15,111,Normal
138,291,7,7,107,2.5,21,131,Normal
148,331,7,7,159,2.6,15,145,Normal
147,423,7,7,152,2.6,16,143,Normal
94,174,6,6,64,1.7,15,91,Normal
109,234,7,7,83,1.9,17,106,Normal
65,79,7,7,32,1.2,17,65,Normal
47,86,6,6,20,0.9,9,44,Normal
100,142,5,5,44,1.7,12,96,Normal
73,99,7,7,36,1.4,13,73,Normal
51,89,6,6,36,1,12,45,Normal
87,271,6,6,57,1.6,12,82,Normal
107,392,8,8,144,1.9,12,105,Normal
204,396,7,7,134,3.5,14,196,Normal
202,623,7,7,551,3.5,13,185,Normal
156,424,6,6,141,2.7,13,145,Normal
181,312,6,6,105,3.1,12,170,Normal
132,223,7,7,145,2.3,15,132,Normal
112,194,6,7,104,2,17,106,Normal
81,116,6,6,36,1.4,14,81,Normal
63,82,7,6,23,1.1,11,61,Normal
48,55,5,6,18,0.9,10,47,Normal
80,222,6,6,36,1.4,9,78,Normal
96,363,7,7,104,1.7,13,96,Normal
111,284,6,6,123,1.9,17,108,Normal
74,92,6,6,23,1.3,9,72,Normal
105,221,6,6,64,1.8,11,101,Normal
107,152,7,7,55,1.9,16,105,Normal
95,129,7,7,46,1.7,15,92,Normal
80,106,6,6,33,1.4,16,77,Normal
98,171,6,6,58,1.7,15,98,Normal
97,158,6,6,77,1.7,17,97,Normal
74,131,7,7,36,1.4,17,74,Normal
53,108,6,6,55,1,12,53,Normal
48,68,6,6,24,0.9,12,46,Normal
49,62,6,6,23,0.9,9,49,Normal
65,89,6,6,32,1.2,12,65,Normal
67,121,6,7,50,1.3,12,72,Normal
47,108,6,6,38,0.8,11,49,Normal
69,102,7,7,32,1.2,15,66,Normal
75,116,6,6,64,1.3,15,76,Normal
65,129,6,6,48,1.2,13,65,Normal
96,188,6,6,57,1.6,13,95,Normal
78,118,6,6,47,1.4,14,76,Normal
70,98,5,6,31,1.3,12,69,Normal
64,127,6,6,46,1.2,12,64,Normal
73,200,6,6,58,1.3,12,73,Normal
94,232,6,7,71,1.6,12,94,Normal
101,243,6,6,98,1.9,12,101,Normal
88,187,6,6,57,1.6,13,86,Normal
90,201,7,7,56,1.6,13,88,Normal
97,275,6,6,145,1.7,10,97,Normal
88,142,6,6,57,1.6,14,85,Normal
71,99,6,6,31,1.3,13,70,Normal
103,206,5,5,71,1.8,13,99,Normal
68,116,5,5,34,1.2,9,65,Normal
62,141,6,6,38,1.2,10,58,Normal
122,229,6,6,68,2.2,12,118,Normal
97,150,7,7,54,1.8,17,94,Normal
129,238,7,7,82,2.3,15,121,Normal
157,515,7,7,171,2.7,11,155,Normal
228,883,6,6,63,3.9,13,217,Normal
58,103,7,7,33,1,21,56,Normal
284,1163,5,5,191,4.9,11,264,Normal
90,181,6,6,78,1.6,12,85,Normal
74,139,8,8,59,1.3,20,74,Normal
67,87,6,6,33,1.3,11,60,Normal
57,123,6,6,39,1.1,14,55,Normal
175,235,6,6,78,3,14,174,Normal
98,155,6,6,62,1.7,15,98,Normal
104,180,6,6,95,1.9,8,92,Normal
92,205,5,6,122,1.7,9,87,Normal
103,195,6,6,71,1.8,10,100,Normal
124,254,6,6,92,2.2,19,118,Normal
65,91,7,7,26,1.3,14,61,Normal
327,1314,6,6,121,5.8,16,315,Normal
246,813,6,7,67,4.3,26,232,Normal
119,197,8,9,68,2.2,32,114,Normal
112,200,7,7,90,2.1,35,110,Normal
93,185,6,6,43,1.8,18,93,Normal
116,315,6,6,175,2.1,19,108,Normal
113,207,6,6,82,2,19,110,Normal
117,267,7,7,145,2.2,20,107,Normal
152,347,6,7,153,2.7,13,147,Normal
60,106,7,7,37,1.1,16,56,Normal
62,126,7,7,71,1.2,16,55,Normal
68,136,7,7,51,1.3,29,63,Normal
63,178,6,6,61,1.2,13,60,Normal
63,136,6,6,61,1.2,11,63,Normal
97,171,6,6,83,200,8,95,Normal
117,270,7,7,99,2.1,27,115,Normal
74,148,7,7,48,1.3,26,71,Normal
132,488,7,7,123,2.3,26,121,Normal
186,714,7,7,231,3.2,14,176,Normal
151,599,7,7,142,2.6,13,144,Normal
227,755,7,7,252,400,14,220,Normal
94,150,7,7,43,1.7,14,90,Normal
75,266,6,6,125,1.4,15,77,Normal
90,174,5,5,71,1.7,8,83,Normal
113,335,6,6,129,1.9,19,101,Normal
141,671,6,6,287,2.6,10,133,Normal
116,362,7,8,271,2,15,108,Normal
114,166,7,7,62,2,29,107,Normal
71,122,6,6,65,1.3,14,65,Normal
42,81,6,6,28,0.8,9,37,Normal
101,213,6,6,78,1.8,14,97,Normal
93,424,6,6,165,1.6,15,90,Normal
151,523,6,7,170,2.7,13,140,Normal
97,287,6,6,103,1.7,10,89,Normal
71,126,6,6,35,1.2,12,70,Normal
87,157,6,6,46,1.6,13,82,Normal
135,280,6,6,70,2.4,14,128,Normal
164,383,6,6,166,2.9,12,148,Normal
83,298,6,6,80,1.5,11,68,Normal
214,645,6,6,52,3.7,19,202,Normal
65,148,7,6,68,1.2,12,62,Normal
70,146,5,5,76,1.3,8,65,Normal
102,334,6,6,105,1.8,11,99,Normal
72,269,5,5,112,1.3,9,70,Normal
58,90,6,6,31,1.1,13,59,Normal
73,126,6,6,40,1.4,21,75,Normal
215,724,7,7,257,3.7,13,205,Normal
111,295,6,6,161,1.9,12,110,Normal
96,226,5,5,80,1.7,10,100,Normal
103,201,5,5,72,1.9,12,104,Normal
281,710,5,6,287,4.8,13,263,Normal
175,431,6,6,131,3,14,162,Normal
93,154,6,6,58,1.7,11,90,Normal
165,230,6,6,109,3,11,155,Normal
123,200,6,6,84,2.2,13,116,Normal
128,177,7,7,98,2.3,13,123,Normal
73,118,6,6,49,1.4,13,68,Normal
45,63,6,6,22,0.8,13,42,Normal
56,71,6,7,23,1,15,53,Normal
94,194,7,7,53,1.7,18,92,Normal
96,309,6,6,104,1.7,12,82,Normal
36,71,6,6,57,0.7,11,32,Normal
49,135,7,6,48,0.9,14,48,Normal
97,318,5,5,112,1.7,9,94,Normal
74,189,6,6,104,1.3,10,74,Normal
66,180,7,7,103,1.1,11,65,Normal
85,163,7,7,41,1.6,14,82,Normal
89,156,6,6,52,1.6,12,89,Normal
46,71,7,6,22,0.9,16,39,Normal
73,134,7,7,48,1.3,14,65,Normal
97,154,7,7,51,1.8,13,89,Normal
167,417,5,5,167,2.9,11,161,Normal
110,206,5,6,84,200,16,104,Normal
82,138,7,7,60,1.5,13,78,Normal
93,146,6,6,49,1.7,13,76,Normal
67,209,6,6,65,1.2,13,59,Normal
85,181,6,6,71,1.6,10,85,Normal
176,616,6,6,283,3,10,173,Normal
60,140,5,5,38,1.1,10,57,Normal
54,131,5,6,57,1,11,51,Normal
70,199,5,5,151,1.3,13,70,Normal
39,45,6,6,12,0.8,10,39,Normal
57,105,6,6,37,1,15,56,Normal
76,158,6,6,51,1.4,13,68,Normal
89,212,6,6,84,1.6,14,88,Normal
80,428,6,6,173,1.5,11,72,Normal
79,399,6,6,158,1.4,10,77,Normal
246,747,6,6,337,4.3,13,243,Normal
58,84,5,5,43,1.1,9,51,Normal
84,259,6,6,37,1.5,14,77,Normal
150,499,7,8,169,2.6,13,138,Normal
126,520,9,9,126,2.2,18,115,Normal
238,808,7,7,269,4.1,19,223,Normal
242,526,7,7,178,4.3,14,225,Normal
129,214,7,7,64,2.2,14,122,Normal
111,224,7,7,87,2,15,113,Normal
97,305,6,6,56,1.7,12,94,Normal
67,153,5,5,55,1.2,8,65,Normal
151,354,6,6,136,2.5,12,148,Normal
49,135,7,6,54,0.9,9,49,Normal
91,179,6,6,41,1.7,12,88,Normal
85,116,6,6,34,1.4,12,83,Normal
115,181,6,6,95,2,12,115,Normal
65,119,6,7,40,1.2,13,59,Normal
45,72,6,6,44,0.8,10,45,Normal
70,100,7,7,40,1.2,12,70,Normal
187,460,5,5,154,3.3,12,179,Normal
128,296,5,5,121,2.2,13,126,Normal
130,243,5,6,71,2.3,13,133,Normal
77,130,5,5,42,1.4,9,77,Normal
47,317,6,6,241,0.9,16,47,Normal
48,106,6,6,42,0.9,16,46,Normal
66,106,5,5,45,1.1,9,65,Normal
68,81,6,6,32,1.3,10,66,Normal
147,364,6,6,125,2.6,11,141,Normal
137,310,6,6,116,2.3,16,126,Normal
130,283,6,6,120,2.3,16,129,Normal
122,287,6,6,116,2.2,11,122,Normal
202,422,6,7,156,3.6,12,194,Normal
193,358,7,8,167,3.4,13,187,Normal
117,231,7,6,153,2.2,12,120,Normal
139,287,7,7,99,2.4,13,139,Normal
184,473,6,6,197,3.2,12,179,Normal
143,329,6,7,108,2.4,12,139,Normal
110,187,8,7,57,1.9,14,109,Normal
108,194,6,7,79,1.9,15,106,Normal
100,206,6,6,71,1.8,12,97,Normal
88,198,6,6,70,1.5,10,88,Normal
103,226,6,6,92,1.8,12,103,Normal
61,76,6,6,25,1.1,12,61,Normal
108,196,6,6,65,1.9,11,110,Normal
44,79,6,6,24,0.8,12,45,Normal
66,137,4,4,11,1.2,7,63,Normal
142,317,4,5,148,2.4,11,137,Normal
46,76,5,6,31,0.8,10,46,Normal
49,88,5,5,31,0.9,10,49,Normal
103,232,5,6,76,1.9,12,102,Normal
57,78,7,7,43,1,14,54,Normal
141,314,5,6,142,2.4,15,130,Normal
73,138,5,5,42,1.3,9,72,Normal
72,317,5,5,226,1.3,9,72,Normal
63,175,5,5,63,1.2,8,61,Normal
51,145,6,6,48,100,14,47,Normal
101,245,6,6,97,1.7,12,101,Normal
199,496,7,7,143,3.5,15,197,Normal
51,184,6,6,60,0.9,12,51,Normal
74,263,5,5,170,1.3,9,74,Normal
57,137,7,7,58,1,12,56,Normal
57,182,6,6,77,1.1,10,62,Normal
48,59,6,6,18,1,12,48,Normal
73,137,6,6,33,1.3,13,72,Normal
290,777,7,7,270,5,15,280,Normal
153,391,6,6,123,2.7,15,153,Normal
254,709,7,7,133,4.3,12,247,Normal
179,345,7,7,103,3.1,14,176,Normal
155,274,6,6,82,2.7,12,153,Normal
78,163,6,6,46,1.5,15,78,Normal
122,263,6,6,106,2.2,12,119,Normal
106,254,6,6,141,1.9,11,104,Normal
228,518,7,7,172,3.9,16,225,Normal
113,221,7,7,44,2,16,111,Normal
61,90,6,6,32,1.1,12,53,Normal
51,83,6,6,25,0.9,11,42,Normal
39,55,6,6,16,0.7,12,39,Normal
22,25,5,6,5,0.5,9,25,Normal
93,142,6,6,58,1.7,10,90,Normal
116,193,7,7,60,2,15,106,Normal
238,647,7,7,373,4.1,15,229,Normal
93,200,6,6,103,1.6,15,87,Normal
65,142,6,6,60,1.3,11,59,Normal
174,365,7,7,148,3,13,156,Normal
105,182,7,7,66,1.9,13,98,Normal
63,114,6,6,50,1.2,9,63,Normal
82,121,5,6,39,1.5,11,79,Normal
121,193,6,6,76,2.1,11,117,Normal
126,300,7,7,90,2.3,12,123,Normal
102,244,7,7,68,1.9,13,97,Normal
117,248,6,7,73,2.2,12,114,Normal
99,313,7,7,129,1.8,15,101,Normal
97,306,6,6,144,1.7,12,92,Normal
318,923,5,5,348,5.4,16,308,Normal
297,874,5,5,336,5.1,16,288,Normal
72,93,7,7,29,1.4,15,70,Normal
284,889,7,7,189,4.9,12,278,Normal
119,238,6,6,66,2.1,11,110,Normal
159,346,6,6,118,2.8,12,158,Normal
106,287,6,6,27,1.9,12,100,Normal
137,377,6,6,130,2.4,11,129,Normal
104,467,8,8,161,1.8,12,98,Normal
87,271,7,7,77,1.5,11,83,Normal
79,288,6,6,116,1.4,11,74,Normal
49,86,6,6,31,0.9,11,45,Normal
33,43,6,6,11,0.6,11,33,Normal
58,124,6,5,34,1.1,7,58,Normal
49,87,7,7,55,0.9,12,49,Normal
189,744,8,8,178,3.2,12,184,Normal
178,563,7,7,128,3,14,178,Normal
115,251,6,6,59,2,14,111,Normal
44,92,5,5,35,0.8,7,44,Normal
41,73,5,5,26,0.8,8,37,Normal
48,116,5,5,30,0.9,9,45,Normal
170,458,7,7,195,3,17,161,Normal
310,1016,5,5,341,5.3,14,292,Normal
177,469,7,7,174,3.1,12,171,Normal
272,900,4,5,319,4.6,12,259,Normal
239,781,6,6,336,4,13,238,Normal
272,801,6,6,350,4.6,12,267,Normal
82,180,6,6,91,1.4,8,79,Normal
66,236,6,6,50,1.2,8,58,Normal
58,268,6,6,95,1.1,11,53,Normal
52,148,6,6,47,0.9,10,48,Normal
53,92,6,6,30,0.9,14,53,Normal
51,96,7,6,25,0.9,29,48,Normal
156,624,7,7,35,2.8,15,156,Normal
62,103,7,7,41,1.1,29,62,Normal
47,55,6,7,15,0.8,29,47,Normal
120,273,6,6,110,2.1,11,118,Normal
85,301,6,6,148,1.5,12,84,Normal
63,339,6,6,132,1.1,11,61,Normal
75,276,6,6,105,1.4,13,74,Normal
71,198,7,7,78,1.3,13,70,Normal
64,296,7,7,65,1.2,16,59,Normal
106,541,7,7,189,1.9,18,99,Normal
60,109,6,6,30,1.1,10,59,Normal
72,138,7,7,65,1.3,16,62,Normal
95,318,7,7,50,1.6,17,92,Normal
129,561,8,8,137,2.2,15,126,Normal
172,762,7,7,240,2.9,13,167,Normal
154,711,8,8,263,2.7,16,148,Normal
186,552,7,7,233,3.3,17,183,Normal
70,123,6,6,58,1.3,12,66,Normal
70,94,6,6,38,1.3,11,70,Normal
49,95,7,7,30,100,11,44,Normal
84,136,6,6,41,1.4,29,84,Normal
73,210,8,8,70,1.2,17,73,Normal
77,150,9,8,69,1.4,29,70,Normal
163,491,6,6,171,2.8,21,158,Normal
131,351,6,7,156,2.3,24,116,Normal
54,104,7,7,51,1,23,53,Normal
59,130,6,6,39,1.1,12,59,Normal
103,214,6,6,86,1.9,10,101,Normal
117,382,7,6,140,2.1,11,119,Normal
96,218,6,6,79,1.7,13,90,Normal
67,155,5,5,68,1.2,11,66,Normal
147,563,7,8,122,2.5,29,140,Normal
153,579,7,7,234,2.7,13,153,Normal
114,359,6,6,112,2,13,105,Normal
120,295,6,6,106,2.1,9,106,Normal
235,794,7,7,72,4,12,222,Normal
190,724,7,7,254,3.2,12,186,Normal
66,182,7,7,67,1.2,14,66,Normal
63,159,7,6,36,1.2,14,65,Normal
63,159,6,7,25,1.1,12,65,Normal
266,826,7,7,434,4.6,12,264,Normal
79,166,6,6,35,1.4,8,79,Normal
75,200,7,7,21,1.3,12,74,Normal
143,255,6,6,90,2.5,13,141,Normal
145,526,6,6,59,2.6,16,147,Normal
140,428,7,7,139,2.5,14,137,Normal
113,409,7,6,175,200,16,113,Normal
92,145,7,7,49,1.6,14,91,Normal
85,197,8,8,67,1.5,15,84,Normal
88,152,7,7,62,1.6,15,88,Normal
37,105,5,5,66,0.7,7,37,Normal
43,103,5,5,36,0.7,7,42,Normal
64,109,6,6,35,1.2,15,64,Normal
69,100,6,6,41,1.2,9,69,Normal
52,76,5,5,40,0.9,9,52,Normal
72,106,6,6,39,1.3,15,72,Normal
62,112,5,5,58,1.1,15,62,Normal
62,96,6,6,51,1.2,10,62,Normal
43,87,5,5,32,0.8,6,41,Normal
60,114,6,7,60,1.1,12,58,Normal
77,138,6,6,49,1.3,10,76,Normal
103,156,6,6,65,1.8,12,101,Normal
77,224,7,7,22,1.4,11,74,Normal
157,506,7,7,218,2.7,16,154,Normal
99,170,6,7,82,1.8,29,98,Normal
124,357,7,7,114,2.2,29,112,Normal
98,292,7,7,110,1.8,14,92,Normal
91,150,7,8,37,1.5,31,87,Normal
64,224,6,6,98,1.1,29,63,Normal
71,117,6,6,46,1.3,8,70,Normal
62,105,5,5,44,1.2,9,62,Normal
56,111,5,5,61,1,7,54,Normal
117,257,6,6,241,2,13,117,Normal
67,109,8,7,95,1.2,17,65,Normal
27,35,6,5,15,0.5,6,27,Normal
55,117,6,6,33,1,14,54,Normal
74,154,9,9,44,1.3,21,72,Normal
56,102,9,9,39,1,21,53,Normal
41,81,7,7,18,0.8,17,41,Normal
84,139,8,9,47,1.5,16,82,Normal
112,497,6,6,106,2.1,18,110,Normal
116,393,7,7,158,2.1,14,116,Normal
103,215,7,7,140,1.9,14,102,Normal
80,101,7,7,40,1.4,14,79,Normal
123,233,7,7,114,2.1,19,123,Normal
131,391,6,6,165,2.3,16,131,Normal
96,293,6,6,109,1.8,12,93,Normal
73,89,6,6,25,1.3,13,73,Normal
61,88,7,7,50,1.1,15,60,Normal
68,181,6,6,61,1.3,15,66,Normal
108,346,6,6,129,1.9,8,105,Normal
243,1118,7,8,366,4.2,12,230,Normal
180,546,6,7,230,3.2,10,168,Normal
193,715,8,8,226,3.4,12,189,Normal
146,375,7,7,119,2.6,15,133,Normal
154,243,7,7,100,2.8,17,145,Normal
55,101,6,6,31,1,17,49,Normal
43,109,5,5,40,0.7,8,43,Normal
86,242,7,7,61,1.5,16,83,Normal
124,223,7,7,67,2.2,20,112,Normal
154,464,7,7,122,2.7,12,150,Normal
85,204,6,6,65,1.4,13,77,Normal
90,164,8,8,53,1.6,14,83,Normal
52,157,6,6,50,1,13,51,Normal
77,146,7,7,43,1.4,13,77,Normal
85,143,6,6,56,1.5,14,85,Normal
110,263,6,6,116,2,14,106,Normal
73,219,6,6,119,1.4,14,68,Normal
112,200,7,7,65,2,14,113,Normal
159,245,8,8,59,2.8,14,159,Normal
267,400,8,9,146,4.6,19,266,Normal
101,171,7,8,86,1.8,24,100,Normal
55,91,6,6,32,1,8,55,Normal
79,172,5,5,63,1.4,10,70,Normal
58,122,6,6,40,1.1,15,54,Normal
77,179,6,6,92,1.3,14,63,Normal
82,205,6,6,77,1.4,18,66,Normal
73,119,6,6,51,1.4,17,71,Normal
68,165,6,6,53,1.2,12,68,Normal
55,124,6,7,51,1.1,15,55,Normal
91,193,6,6,116,1.7,12,91,Normal
94,158,7,7,60,1.7,24,94,Normal
102,203,6,6,75,1.8,9,102,Normal
80,154,6,6,47,1.4,18,79,Normal
103,292,6,6,86,1.8,18,99,Normal
152,448,7,7,278,2.7,12,145,Normal
84,254,6,6,128,1.6,11,83,Normal
133,427,6,6,146,2.3,10,131,Normal
100,236,6,6,75,1.8,9,100,Normal
39,75,6,7,21,0.7,10,38,Normal
69,190,6,6,67,1.3,10,64,Normal
63,144,6,6,47,1.1,11,63,Normal
91,246,6,6,134,1.6,10,90,Normal
81,122,6,6,53,1.5,10,79,Normal
89,155,7,7,52,1.7,14,90,Normal
103,161,6,6,53,1.9,15,101,Normal
57,76,7,6,23,1,14,57,Normal
51,80,6,6,41,0.9,12,51,Normal
55,98,6,6,37,1,13,54,Normal
52,91,6,6,38,1,10,52,Normal
67,83,6,6,27,1.2,13,63,Normal
108,146,7,7,74,200,17,105,Normal
59,98,7,6,28,1.1,13,50,Normal
75,116,6,6,35,1.3,11,69,Normal
50,152,6,6,51,0.9,12,48,Normal
50,91,6,6,30,0.9,18,48,Normal
69,100,6,6,36,1.2,14,61,Normal
65,71,7,6,35,1.1,14,55,Normal
52,79,6,6,39,1,14,42,Normal
33,45,5,5,13,0.6,9,28,Normal
40,65,5,5,22,0.6,8,38,Normal
52,71,7,7,23,1,14,54,Normal
164,420,7,7,69,2.9,14,159,Normal
209,539,7,7,140,3.5,15,201,Normal
111,172,7,7,63,2,29,104,Normal
79,109,7,6,41,1.4,13,79,Normal
72,87,6,7,22,1.3,13,68,Normal
151,239,8,8,77,2.6,29,149,Normal
168,264,8,8,93,2.9,29,169,Normal
178,306,8,8,135,3.1,29,173,Normal
102,235,7,7,113,1.8,29,96,Normal
70,141,6,6,58,1.3,15,70,Normal
76,248,6,6,97,1.3,10,71,Normal
47,83,5,5,31,0.8,8,41,Normal
54,81,5,6,23,1,8,49,Normal
54,129,7,7,43,1,13,49,Normal
49,102,6,5,17,0.9,10,44,Normal
69,116,5,5,63,1.2,8,58,Normal
65,151,6,6,55,1.2,10,64,Normal
80,164,6,6,56,1.4,12,74,Normal
69,95,6,6,32,1.2,11,67,Normal
54,96,6,6,21,1,9,54,Normal
83,283,6,6,128,1.5,13,83,Normal
66,149,6,6,62,1.2,12,65,Normal
74,160,6,6,58,1.3,12,73,Normal
49,81,7,7,23,0.9,18,40,Normal
69,231,7,7,206,1.3,20,62,Normal
72,139,6,6,57,1.3,12,70,Normal
63,95,7,7,37,1.2,12,63,Normal
43,51,7,7,12,0.8,12,43,Normal
40,80,6,6,37,0.7,9,40,Normal
54,59,7,7,23,1,29,54,Normal
41,59,6,6,22,0.7,14,41,Normal
56,84,6,7,38,1,29,56,Normal
81,145,6,6,59,1.5,13,81,Normal
