Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
202,8,631,49,186,16,Virus
184,6,568,59,161,23,Virus
86,7,230,40,74,12,Virus
145,6,313,55,128,17,Virus
173,5,382,33,167,6,Virus
75,7,210,43,64,11,Virus
197,6,464,40,178,19,Virus
102,6,221,35,81,21,Virus
218,9,568,121,180,38,Virus
159,8,396,88,138,21,Virus
163,7,451,49,147,16,Virus
134,7,328,55,129,5,Virus
122,5,277,15,116,6,Virus
75,6,131,25,71,4,Virus
134,8,261,62,131,3,Virus
123,8,303,61,115,8,Virus
108,6,318,61,104,4,Virus
152,8,342,73,149,3,Virus
168,6,369,62,161,7,Virus
198,6,488,35,185,13,Virus
84,6,152,16,81,3,Virus
247,9,481,31,242,5,Virus
201,7,457,45,199,2,Virus
84,7,174,58,79,5,Virus
69,6,151,65,61,8,Virus
79,6,171,46,69,10,Virus
196,6,530,28,184,12,Virus
200,7,493,35,189,11,Virus
139,7,337,142,125,14,Virus
165,7,353,47,152,13,Virus
137,6,421,33,126,11,Virus
243,7,823,83,231,12,Virus
208,5,645,53,198,10,Virus
154,7,368,37,142,12,Virus
186,7,532,104,168,18,Virus
105,6,244,45,87,18,Virus
228,8,600,101,210,18,Virus
226,7,605,122,214,12,Virus
116,4,350,44,103,13,Virus
235,6,707,44,222,13,Virus
248,7,723,85,238,10,Virus
170,6,507,52,166,4,Virus
238,8,651,110,225,13,Virus
221,8,471,67,196,25,Virus
130,7,281,46,109,21,Virus
144,8,325,52,131,13,Virus
318,7,959,66,301,17,Virus
194,7,544,148,177,17,Virus
155,7,461,39,130,25,Virus
110,6,511,77,100,10,Virus
164,6,744,79,154,10,Virus
256,7,1160,70,229,27,Virus
145,7,474,174,138,7,Virus
159,7,651,54,144,15,Virus
144,8,297,84,105,39,Virus
130,7,294,76,104,26,Virus
78,6,139,28,62,16,Virus
152,9,354,49,148,4,Virus
170,5,388,15,153,17,Virus
65,6,93,24,61,4,Virus
87,5,144,14,69,18,Virus
85,6,210,32,69,16,Virus
106,5,311,36,92,14,Virus
122,5,337,15,111,11,Virus
217,6,584,54,206,11,Virus
303,8,886,211,272,31,Virus
229,8,663,76,202,27,Virus
113,7,369,40,107,6,Virus
184,6,540,37,175,9,Virus
195,7,569,49,185,10,Virus
101,7,219,82,88,13,Virus
213,5,782,54,196,17,Virus
92,9,236,63,83,9,Virus
165,6,685,24,157,8,Virus
105,5,211,37,92,12,Virus
125,6,413,63,116,7,Virus
186,5,604,27,182,4,Virus
83,6,147,39,80,2,Virus
230,11,582,58,217,12,Virus
116,7,357,41,111,5,Virus
146,6,373,65,136,10,Virus
140,9,377,83,131,9,Virus
111,6,554,48,104,7,Virus
106,7,545,49,99,7,Virus
92,5,310,41,86,6,Virus
82,7,151,37,80,2,Virus
92,8,218,38,87,5,Virus
102,7,205,63,94,8,Virus
125,9,290,56,117,8,Virus
102,6,231,20,96,6,Virus
142,8,436,45,136,6,Virus
170,6,498,35,148,22,Virus
174,8,478,69,156,18,Virus
128,6,460,133,118,10,Virus
170,7,640,79,160,10,Virus
207,8,558,80,176,31,Virus
211,8,441,53,199,12,Virus
296,7,736,21,267,29,Virus
117,7,195,39,91,26,Virus
155,6,318,48,129,26,Virus
151,7,368,57,128,23,Virus
87,8,167,35,68,19,Virus
215,5,514,40,195,20,Virus
228,6,574,42,215,13,Virus
199,8,438,47,172,27,Virus
463,7,1095,79,429,34,Virus
162,8,357,50,144,18,Virus
154,8,286,80,141,13,Virus
199,8,464,47,189,9,Virus
95,6,219,77,87,8,Virus
132,9,323,67,119,13,Virus
185,5,604,115,162,23,Virus
260,6,751,37,247,13,Virus
276,8,767,47,254,22,Virus
114,7,374,44,101,13,Virus
350,8,1259,107,326,24,Virus
187,8,529,54,159,28,Virus
213,6,603,109,203,10,Virus
167,8,437,168,153,14,Virus
174,8,454,91,141,33,Virus
279,7,717,55,249,30,Virus
308,8,839,71,275,33,Virus
89,5,173,39,83,6,Virus
106,6,234,49,99,7,Virus
146,7,330,46,132,14,Virus
103,8,227,54,96,7,Virus
232,8,487,38,220,12,Virus
201,7,492,41,192,9,Virus
119,4,424,24,105,14,Virus
118,7,415,62,105,13,Virus
224,7,622,132,212,12,Virus
182,8,380,122,179,3,Virus
212,5,576,26,209,3,Virus
196,8,614,92,187,9,Virus
121,7,287,45,106,15,Virus
85,6,151,57,78,7,Virus
118,7,392,35,104,14,Virus
264,6,712,92,250,14,Virus
203,6,532,55,198,5,Virus
104,7,223,54,97,7,Virus
167,8,349,62,146,21,Virus
245,7,684,106,220,20,Virus
213,6,522,60,205,8,Virus
129,6,385,55,124,5,Virus
139,7,290,64,131,8,Virus
212,4,494,13,205,7,Virus
223,8,542,46,210,13,Virus
233,8,745,46,220,13,Virus
193,7,559,115,186,7,Virus
160,4,447,31,139,21,Virus
251,7,771,116,234,17,Virus
184,7,478,30,173,11,Virus
91,5,205,29,69,19,Virus
146,7,481,95,123,21,Virus
81,7,159,17,68,10,Virus
196,6,414,25,184,12,Virus
220,7,580,29,207,13,Virus
121,5,239,26,114,7,Virus
90,6,148,25,79,11,Virus
77,6,212,45,68,9,Virus
94,5,257,47,77,17,Virus
187,8,412,40,183,4,Virus
232,8,498,36,219,13,Virus
132,6,493,24,119,13,Virus
258,6,796,33,245,13,Virus
213,5,661,76,206,6,Virus
129,7,348,76,123,6,Virus
244,9,581,138,232,12,Virus
208,5,566,48,188,20,Virus
79,5,342,53,66,13,Virus
101,8,272,194,91,10,Virus
171,8,425,98,154,17,Virus
146,6,383,27,129,17,Virus
157,8,430,78,127,30,Virus
154,8,268,31,141,13,Virus
101,6,290,23,83,18,Virus
125,7,316,58,107,18,Virus
155,7,398,70,136,19,Virus
155,7,360,23,136,19,Virus
169,7,368,72,142,27,Virus
194,9,512,61,178,16,Virus
104,8,192,31,96,8,Virus
106,6,349,90,97,9,Virus
169,6,817,27,154,15,Virus
169,5,663,44,158,11,Virus
108,4,542,180,99,9,Virus
105,4,454,99,98,7,Virus
117,5,282,40,112,5,Virus
195,7,458,34,191,4,Virus
193,4,578,39,182,11,Virus
153,8,357,48,145,8,Virus
91,6,348,108,82,9,Virus
87,6,228,118,77,10,Virus
102,6,200,38,90,12,Virus
117,8,192,89,105,12,Virus
97,4,207,32,90,7,Virus
135,4,1680,27,110,25,Virus
336,7,2252,49,305,31,Virus
188,8,533,117,163,25,Virus
163,8,441,106,143,20,Virus
204,7,575,72,182,22,Virus
189,8,427,88,166,23,Virus
126,8,315,185,115,11,Virus
103,6,261,82,98,5,Virus
146,5,360,26,133,13,Virus
134,7,363,64,121,13,Virus
265,7,664,56,255,10,Virus
228,8,548,33,220,8,Virus
159,7,414,52,151,8,Virus
129,7,257,69,112,17,Virus
90,6,268,24,77,13,Virus
83,7,189,22,73,10,Virus
76,7,200,23,61,15,Virus
77,7,156,46,67,10,Virus
97,6,317,51,89,8,Virus
118,7,238,69,105,13,Virus
107,8,262,50,94,13,Virus
225,6,615,69,204,21,Virus
232,8,641,105,216,16,Virus
115,6,406,59,100,15,Virus
115,6,432,104,100,15,Virus
170,8,827,293,155,15,Virus
195,6,886,29,176,19,Virus
122,9,460,251,109,13,Virus
128,4,322,30,114,14,Virus
132,7,377,92,119,13,Virus
123,5,253,22,115,8,Virus
194,6,429,31,184,10,Virus
197,8,483,64,189,8,Virus
107,6,620,53,91,16,Virus
130,8,418,53,118,12,Virus
268,8,644,57,255,13,Virus
255,8,700,110,242,13,Virus
122,7,364,116,108,14,Virus
182,6,512,57,175,7,Virus
212,5,485,43,205,7,Virus
278,7,755,38,264,14,Virus
67,5,154,44,64,3,Virus
247,7,751,33,234,12,Virus
150,8,444,143,134,16,Virus
138,5,292,43,120,18,Virus
195,6,485,79,179,16,Virus
221,7,515,57,204,17,Virus
158,6,292,24,146,12,Virus
190,7,408,22,182,8,Virus
187,7,517,32,182,5,Virus
116,6,339,56,110,6,Virus
202,7,546,54,194,8,Virus
121,7,292,46,104,17,Virus
239,8,642,94,217,22,Virus
177,7,619,96,151,26,Virus
117,7,394,62,108,9,Virus
223,8,481,66,218,5,Virus
159,7,500,51,149,10,Virus
229,9,596,46,218,11,Virus
94,5,210,66,91,3,Virus
232,9,566,112,218,14,Virus
202,5,469,51,181,21,Virus
103,6,206,53,85,18,Virus
110,6,266,31,85,25,Virus
149,7,455,72,127,18,Virus
265,7,886,161,249,16,Virus
288,7,2259,66,256,32,Virus
229,9,3350,51,191,38,Virus
135,6,254,68,124,11,Virus
258,6,1946,55,235,23,Virus
244,6,823,45,226,18,Virus
139,7,516,58,124,15,Virus
257,8,716,49,235,22,Virus
294,5,848,147,273,21,Virus
154,9,555,141,126,28,Virus
357,8,1119,109,327,30,Virus
325,7,993,84,304,21,Virus
78,6,196,61,62,16,Virus
177,6,582,35,151,26,Virus
163,7,559,62,144,19,Virus
147,6,392,193,125,22,Virus
175,9,494,117,154,21,Virus
262,6,721,74,243,19,Virus
281,8,661,87,261,20,Virus
392,10,1555,132,360,32,Virus
285,7,724,76,259,26,Virus
235,5,581,79,217,18,Virus
162,7,412,88,147,15,Virus
194,9,472,57,163,31,Virus
240,7,590,40,220,20,Virus
265,7,733,74,234,31,Virus
100,5,286,98,82,18,Virus
126,8,385,99,108,18,Virus
135,7,736,99,116,19,Virus
111,8,609,51,103,8,Virus
214,7,589,61,201,13,Virus
303,8,1037,48,270,33,Virus
142,8,278,171,109,33,Virus
146,6,365,46,130,16,Virus
128,6,304,54,118,10,Virus
153,8,414,92,137,16,Virus
238,9,568,82,216,22,Virus
236,5,600,132,222,14,Virus
289,7,800,77,268,21,Virus
254,7,663,111,239,15,Virus
155,6,608,104,130,25,Virus
158,8,610,164,139,19,Virus
314,6,926,64,289,25,Virus
243,6,740,89,229,14,Virus
164,7,436,121,147,17,Virus
367,7,1039,74,352,15,Virus
141,7,350,92,133,8,Virus
117,6,232,63,105,12,Virus
224,7,580,73,216,8,Virus
250,6,784,306,234,16,Virus
224,9,1161,110,191,33,Virus
236,7,1510,82,207,29,Virus
459,10,1384,299,428,31,Virus
149,7,325,80,143,6,Virus
157,9,850,276,144,13,Virus
166,8,493,105,143,23,Virus
226,4,758,20,211,15,Virus
277,8,847,176,245,32,Virus
127,7,331,55,115,12,Virus
241,6,689,37,228,13,Virus
248,7,616,46,232,16,Virus
125,6,208,33,107,18,Virus
225,7,539,33,215,10,Virus
84,6,130,15,80,4,Virus
175,6,381,28,173,2,Virus
179,7,396,20,173,6,Virus
168,7,424,31,152,16,Virus
59,5,90,10,52,7,Virus
94,6,178,26,85,9,Virus
98,5,331,40,88,10,Virus
104,8,222,41,98,6,Virus
69,6,156,40,66,3,Virus
155,7,395,40,136,19,Virus
253,6,624,69,225,28,Virus
212,6,488,68,191,21,Virus
130,5,428,22,111,19,Virus
199,7,450,49,191,8,Virus
213,5,459,79,197,16,Virus
145,6,513,89,124,21,Virus
237,7,571,40,221,16,Virus
115,5,203,55,108,7,Virus
244,7,606,39,227,17,Virus
192,7,391,127,177,15,Virus
164,7,430,57,153,11,Virus
184,8,549,86,162,22,Virus
168,8,385,51,144,24,Virus
153,9,363,102,119,34,Virus
111,6,280,31,90,21,Virus
215,6,481,39,200,15,Virus
194,7,461,46,183,11,Virus
93,6,210,42,71,22,Virus
111,5,288,52,86,25,Virus
244,7,583,18,216,28,Virus
209,6,510,70,192,17,Virus
131,5,313,91,116,15,Virus
143,8,344,36,130,13,Virus
112,6,225,28,104,8,Virus
100,7,246,79,92,8,Virus
187,7,486,213,168,19,Virus
142,7,341,21,128,14,Virus
135,8,315,33,122,13,Virus
71,5,206,37,64,7,Virus
85,5,212,64,81,4,Virus
184,7,1979,28,159,25,Virus
250,8,2120,60,231,19,Virus
102,6,194,25,99,3,Virus
179,6,420,25,173,6,Virus
142,6,314,70,132,10,Virus
465,7,1527,68,437,28,Virus
216,6,693,59,192,24,Virus
139,9,308,22,121,18,Virus
119,8,280,51,101,18,Virus
256,7,881,186,241,15,Virus
356,7,1193,52,312,44,Virus
248,7,578,52,227,21,Virus
211,5,611,47,190,21,Virus
89,8,149,75,67,22,Virus
105,7,250,53,87,18,Virus
239,7,642,58,218,21,Virus
131,5,398,48,113,18,Virus
224,6,546,54,204,20,Virus
135,6,352,67,120,15,Virus
153,6,412,37,128,25,Virus
255,5,617,39,227,28,Virus
265,7,769,91,239,26,Virus
110,7,285,55,90,20,Virus
111,8,212,59,86,25,Virus
213,6,456,28,200,13,Virus
276,7,673,22,265,11,Virus
150,7,352,30,132,18,Virus
97,5,212,24,76,21,Virus
171,8,580,124,158,13,Virus
72,7,224,31,66,6,Virus
143,7,384,39,123,20,Virus
122,8,282,47,101,21,Virus
113,6,298,26,96,17,Virus
347,11,1157,96,304,43,Virus
265,6,927,51,253,12,Virus
111,6,247,45,97,14,Virus
168,7,349,162,140,28,Virus
107,7,225,73,93,14,Virus
92,7,227,68,79,13,Virus
212,8,892,186,173,37,Virus
124,8,310,98,105,19,Virus
203,6,460,56,193,10,Virus
201,8,429,51,195,6,Virus
100,6,204,29,89,11,Virus
66,6,214,76,54,12,Virus
72,5,175,27,61,11,Virus
86,4,163,19,68,18,Virus
103,8,229,39,89,14,Virus
191,9,706,106,180,11,Virus
140,6,340,36,130,10,Virus
135,8,329,59,124,11,Virus
243,9,563,115,219,24,Virus
249,7,637,60,228,21,Virus
119,7,266,84,98,21,Virus
124,5,433,80,101,23,Virus
129,6,361,35,112,17,Virus
124,8,278,120,112,12,Virus
252,7,743,72,226,26,Virus
261,6,698,51,247,14,Virus
145,8,418,23,135,10,Virus
101,6,372,66,92,9,Virus
85,5,318,20,72,13,Virus
87,6,274,39,75,12,Virus
107,8,316,70,97,10,Virus
139,4,395,111,123,16,Virus
202,8,1858,87,176,26,Virus
150,7,1798,116,131,19,Virus
187,7,1815,20,160,27,Virus
235,8,862,87,215,20,Virus
145,6,432,47,133,12,Virus
258,8,731,172,237,21,Virus
267,6,941,56,261,6,Virus
170,7,522,180,157,13,Virus
155,9,345,55,137,18,Virus
202,8,504,151,182,20,Virus
128,7,393,158,113,15,Virus
210,7,533,130,206,4,Virus
199,6,550,43,191,8,Virus
146,8,360,79,134,12,Virus
191,9,497,66,184,7,Virus
171,7,436,106,167,4,Virus
138,8,407,88,130,8,Virus
85,7,222,55,85,0,Virus
196,7,481,201,191,5,Virus
104,6,253,127,95,9,Virus
299,9,962,90,273,26,Virus
236,7,738,42,207,29,Virus
238,7,817,38,206,32,Virus
148,7,464,61,124,24,Virus
196,8,450,126,161,35,Virus
271,8,682,113,228,43,Virus
257,7,559,57,239,18,Virus
197,7,554,44,183,14,Virus
129,8,516,103,116,13,Virus
135,8,463,111,122,13,Virus
173,6,591,53,161,12,Virus
98,7,255,31,93,5,Virus
106,8,262,56,98,8,Virus
74,7,395,40,60,14,Virus
239,5,2084,102,210,29,Virus
342,7,2370,48,298,44,Virus
107,5,278,48,99,8,Virus
168,8,3306,51,138,30,Virus
156,6,2010,37,130,26,Virus
99,8,319,75,89,10,Virus
99,5,342,48,91,8,Virus
111,7,352,73,106,5,Virus
101,7,198,30,86,15,Virus
218,6,507,34,205,13,Virus
232,6,511,22,223,9,Virus
169,8,331,29,150,19,Virus
120,8,221,40,107,13,Virus
110,8,174,29,90,20,Virus
136,8,303,74,125,11,Virus
334,9,812,97,309,25,Virus
350,6,1123,76,334,16,Virus
152,8,780,140,147,5,Virus
186,7,855,156,166,20,Virus
211,9,658,212,199,12,Virus
244,9,746,77,232,12,Virus
124,6,245,32,118,6,Virus
136,8,374,44,122,14,Virus
114,7,320,43,98,16,Virus
183,8,471,35,174,9,Virus
70,8,133,42,68,2,Virus
167,6,402,24,161,6,Virus
88,8,253,22,83,5,Virus
104,7,237,58,97,7,Virus
97,5,259,30,70,27,Virus
208,7,517,94,182,26,Virus
225,8,656,64,190,35,Virus
121,8,259,37,96,25,Virus
128,7,326,36,103,25,Virus
145,7,426,104,116,29,Virus
250,8,724,66,213,37,Virus
232,7,588,82,192,40,Virus
148,7,390,129,112,36,Virus
110,7,262,39,89,21,Virus
114,6,217,32,99,15,Virus
143,8,276,30,128,15,Virus
99,7,239,48,87,12,Virus
192,6,447,42,183,9,Virus
248,5,581,60,234,14,Virus
162,8,442,39,151,11,Virus
162,7,478,35,147,15,Normal
206,8,451,53,181,25,Normal
148,9,276,46,134,14,Normal
251,7,581,59,233,18,Normal
315,7,720,33,296,19,Normal
125,6,230,60,107,18,Normal
110,8,259,78,103,7,Normal
135,7,291,65,118,17,Normal
85,8,234,39,82,3,Normal
185,8,408,47,175,10,Normal
245,7,557,51,222,23,Normal
82,6,162,23,66,16,Normal
97,6,241,27,73,24,Normal
101,7,361,29,81,20,Normal
97,7,238,83,75,22,Normal
232,7,500,40,207,25,Normal
190,7,472,41,174,16,Normal
151,5,486,18,134,17,Normal
108,7,184,48,80,28,Normal
93,5,157,24,71,22,Normal
197,5,400,28,187,10,Normal
116,6,179,34,108,8,Normal
194,6,415,50,184,10,Normal
99,7,175,30,91,8,Normal
102,8,242,55,91,11,Normal
151,9,441,61,137,14,Normal
121,4,326,39,105,16,Normal
278,4,1408,86,269,9,Normal
275,7,1151,56,261,14,Normal
148,6,530,28,132,16,Normal
162,7,308,74,150,12,Normal
147,6,318,33,126,19,Normal
190,10,653,134,164,26,Normal
238,7,540,99,226,12,Normal
153,7,459,94,127,26,Normal
225,7,616,70,205,20,Normal
118,6,473,86,111,7,Normal
169,8,521,151,142,24,Normal
163,6,587,126,139,24,Normal
231,6,592,23,214,17,Normal
201,6,513,53,185,16,Normal
70,6,142,95,54,16,Normal
58,5,212,47,45,13,Normal
72,6,294,44,64,8,Normal
92,5,445,45,81,11,Normal
301,6,1086,54,287,14,Normal
108,4,605,23,93,15,Normal
168,9,501,274,146,22,Normal
131,4,416,22,111,20,Normal
83,6,234,28,68,15,Normal
212,6,543,90,190,22,Normal
193,5,646,36,167,26,Normal
70,6,233,143,54,16,Normal
104,8,367,86,73,31,Normal
114,7,304,104,84,30,Normal
183,6,431,42,167,16,Normal
275,9,1334,25,238,37,Normal
139,6,1079,113,109,30,Normal
162,8,1746,22,129,33,Normal
142,5,1598,43,112,30,Normal
145,8,1676,47,115,30,Normal
346,9,819,82,315,31,Normal
107,6,253,27,97,10,Normal
78,7,148,93,72,6,Normal
68,5,164,32,62,6,Normal
81,7,163,61,71,10,Normal
138,7,400,115,125,13,Normal
113,5,267,40,100,13,Normal
309,8,775,91,299,10,Normal
130,5,350,84,116,14,Normal
129,7,283,20,111,18,Normal
143,6,330,58,128,15,Normal
132,8,298,57,117,15,Normal
137,6,285,55,124,13,Normal
166,6,427,25,159,7,Normal
199,7,456,36,176,23,Normal
106,8,231,60,90,16,Normal
88,8,232,38,76,12,Normal
107,5,233,37,92,15,Normal
83,4,177,17,73,10,Normal
184,6,462,18,173,11,Normal
249,9,555,75,233,16,Normal
134,6,318,26,118,16,Normal
134,7,288,40,110,24,Normal
123,7,334,34,102,21,Normal
75,6,137,17,56,19,Normal
247,5,576,25,218,29,Normal
186,6,367,49,167,19,Normal
151,9,292,47,136,15,Normal
123,7,247,24,110,13,Normal
146,7,270,46,112,34,Normal
139,4,448,35,110,29,Normal
238,7,712,55,218,20,Normal
246,8,839,43,220,26,Normal
154,8,441,63,132,22,Normal
144,9,380,119,116,28,Normal
160,7,345,24,144,16,Normal
158,6,400,74,138,20,Normal
131,7,296,116,120,11,Normal
237,7,515,111,216,21,Normal
243,7,553,66,222,21,Normal
151,6,269,84,137,14,Normal
372,7,921,94,346,26,Normal
308,7,725,86,280,28,Normal
133,8,311,33,112,21,Normal
213,7,503,44,198,15,Normal
190,9,438,46,180,10,Normal
108,7,250,55,99,9,Normal
100,7,180,39,86,14,Normal
169,6,725,101,147,22,Normal
170,6,780,82,146,24,Normal
185,7,434,190,157,28,Normal
152,7,376,40,135,17,Normal
93,6,240,36,90,2,Normal
114,5,312,77,102,10,Normal
132,7,367,88,99,30,Normal
113,5,294,60,102,11,Normal
147,8,394,37,125,22,Normal
116,7,329,45,100,16,Normal
133,4,325,32,108,25,Normal
104,7,294,46,89,15,Normal
147,8,540,86,128,19,Normal
129,8,264,86,115,14,Normal
120,6,233,72,108,12,Normal
120,5,319,40,99,21,Normal
152,7,362,32,129,23,Normal
142,6,551,80,115,27,Normal
160,6,746,132,134,26,Normal
229,7,619,40,203,26,Normal
238,8,560,52,215,23,Normal
150,4,272,18,131,19,Normal
136,7,276,22,115,21,Normal
131,6,343,111,115,16,Normal
151,7,628,68,140,11,Normal
249,9,732,127,205,44,Normal
233,8,424,113,185,48,Normal
184,8,361,100,163,21,Normal
298,9,872,43,284,14,Normal
162,6,374,53,154,8,Normal
135,8,217,71,117,18,Normal
147,7,342,89,136,11,Normal
120,7,191,69,105,15,Normal
110,8,198,86,102,8,Normal
140,7,271,53,118,22,Normal
133,7,404,32,116,17,Normal
195,7,554,158,184,11,Normal
266,7,766,49,254,12,Normal
236,6,659,43,227,9,Normal
104,6,358,54,89,15,Normal
137,8,390,61,121,16,Normal
81,8,148,40,65,16,Normal
100,6,204,57,79,21,Normal
79,7,285,28,68,11,Normal
92,6,283,96,79,13,Normal
161,9,453,46,145,16,Normal
135,8,287,87,118,17,Normal
136,6,316,75,125,11,Normal
173,8,362,55,154,19,Normal
133,7,320,57,122,11,Normal
285,8,823,42,263,22,Normal
310,7,843,40,284,26,Normal
193,7,436,93,171,22,Normal
197,7,595,107,180,17,Normal
146,6,333,54,138,8,Normal
273,9,623,102,237,32,Normal
185,9,424,73,154,29,Normal
178,8,452,220,154,24,Normal
180,6,456,70,167,13,Normal
181,7,488,92,169,12,Normal
138,7,402,36,119,19,Normal
129,6,266,66,113,16,Normal
111,7,269,36,104,7,Normal
176,7,629,31,166,10,Normal
124,8,246,41,108,16,Normal
130,7,343,99,113,17,Normal
161,7,425,74,151,10,Normal
139,7,302,80,120,19,Normal
136,8,305,38,108,28,Normal
232,8,519,84,200,32,Normal
181,8,437,85,162,19,Normal
222,8,641,60,201,21,Normal
188,8,487,53,159,29,Normal
165,7,352,57,147,18,Normal
193,8,324,46,171,22,Normal
113,8,228,38,85,28,Normal
117,6,393,57,99,18,Normal
97,6,252,30,88,9,Normal
135,5,316,43,122,13,Normal
411,8,1148,108,386,25,Normal
251,5,551,35,239,12,Normal
170,7,386,78,154,16,Normal
179,7,431,73,166,13,Normal
128,7,268,69,112,16,Normal
141,8,252,36,122,19,Normal
178,8,349,65,164,14,Normal
104,7,228,20,97,7,Normal
147,8,313,92,131,16,Normal
124,8,247,23,110,14,Normal
96,4,176,38,77,19,Normal
116,7,265,39,89,27,Normal
223,8,462,71,198,25,Normal
135,7,333,58,114,21,Normal
105,7,280,49,90,15,Normal
114,6,233,56,90,24,Normal
141,8,607,146,108,33,Normal
186,8,678,149,166,20,Normal
127,7,414,69,115,12,Normal
126,6,261,22,109,17,Normal
132,7,381,30,116,16,Normal
158,6,336,47,139,19,Normal
118,6,249,48,109,9,Normal
174,9,467,43,156,18,Normal
130,7,335,32,124,6,Normal
141,8,378,80,138,3,Normal
138,7,408,62,126,12,Normal
178,6,501,21,150,28,Normal
198,9,563,64,183,15,Normal
124,7,252,68,106,18,Normal
133,8,241,93,110,23,Normal
198,7,967,118,180,18,Normal
177,7,548,128,163,14,Normal
157,8,618,156,143,14,Normal
140,7,395,100,134,6,Normal
206,6,781,60,187,19,Normal
186,9,411,187,166,20,Normal
209,7,709,45,182,27,Normal
192,6,695,28,176,16,Normal
206,9,579,229,180,26,Normal
161,8,532,121,143,18,Normal
156,7,674,120,137,16,Normal
145,5,374,63,131,11,Normal
147,7,322,37,128,18,Normal
141,8,352,54,116,25,Normal
143,7,639,84,127,16,Normal
246,6,1089,128,213,33,Normal
190,8,416,120,160,30,Normal
116,7,281,42,99,17,Normal
120,7,277,33,96,24,Normal
165,8,365,139,134,31,Normal
122,7,305,45,104,18,Normal
88,6,165,11,79,9,Normal
144,7,365,80,133,11,Normal
92,6,233,19,83,9,Normal
84,5,239,14,77,7,Normal
74,5,166,19,63,11,Normal
104,8,206,22,87,17,Normal
117,4,301,23,96,21,Normal
228,7,581,56,200,28,Normal
220,6,442,46,200,20,Normal
273,6,783,14,244,29,Normal
451,7,1667,34,410,41,Normal
142,7,256,56,129,13,Normal
122,7,300,37,109,13,Normal
166,8,511,36,135,31,Normal
111,6,304,62,103,8,Normal
117,7,259,62,104,13,Normal
97,6,287,59,93,4,Normal
197,7,1939,106,167,30,Normal
408,6,2527,45,368,40,Normal
126,9,321,58,116,10,Normal
154,8,522,51,133,21,Normal
153,8,562,47,137,16,Normal
79,7,216,63,66,13,Normal
117,6,254,29,109,8,Normal
207,7,564,170,184,23,Normal
190,8,428,86,151,39,Normal
143,9,334,89,112,31,Normal
133,5,338,34,108,25,Normal
107,7,286,23,88,19,Normal
85,9,214,89,75,10,Normal
111,7,277,65,97,14,Normal
106,5,231,24,100,6,Normal
68,6,117,25,55,13,Normal
82,5,186,39,71,11,Normal
85,6,189,29,70,15,Normal
63,6,153,46,51,12,Normal
78,6,122,27,62,16,Normal
132,8,345,87,109,23,Normal
136,8,585,53,115,21,Normal
109,8,292,97,93,16,Normal
123,6,301,64,113,10,Normal
196,6,422,96,185,11,Normal
127,7,424,37,115,12,Normal
124,7,296,43,108,16,Normal
132,7,339,66,98,34,Normal
135,8,259,62,92,43,Normal
113,6,315,43,86,27,Normal
94,6,227,27,79,15,Normal
81,4,145,31,75,6,Normal
83,5,169,59,81,2,Normal
98,7,292,55,81,17,Normal
188,9,455,67,153,35,Normal
144,8,437,70,130,14,Normal
111,6,349,28,96,15,Normal
100,7,212,82,74,26,Normal
145,6,363,51,121,24,Normal
183,8,457,44,163,20,Normal
202,8,982,110,188,14,Normal
142,7,595,64,135,7,Normal
217,6,1005,67,194,23,Normal
154,8,485,161,130,24,Normal
118,8,230,95,103,15,Normal
117,6,223,31,97,20,Normal
90,8,207,42,80,10,Normal
116,6,239,46,95,21,Normal
96,7,187,40,83,13,Normal
146,7,288,42,122,24,Normal
102,8,197,64,92,10,Normal
104,5,242,27,97,7,Normal
91,7,512,45,84,7,Normal
88,6,206,21,77,11,Normal
88,5,157,35,71,17,Normal
72,7,139,16,63,9,Normal
75,8,110,62,64,11,Normal
131,7,276,37,118,13,Normal
58,7,108,33,49,9,Normal
101,6,142,28,82,19,Normal
118,8,195,23,109,9,Normal
59,6,105,27,54,5,Normal
85,7,470,41,68,17,Normal
115,9,199,30,103,12,Normal
119,6,204,26,108,11,Normal
98,6,273,43,82,16,Normal
142,8,282,39,114,28,Normal
101,7,301,41,89,12,Normal
98,6,278,57,78,20,Normal
77,6,240,58,59,18,Normal
81,6,127,44,70,11,Normal
73,7,132,19,64,9,Normal
98,8,167,17,90,8,Normal
82,6,117,19,77,5,Normal
100,8,155,51,90,10,Normal
101,4,165,10,91,10,Normal
67,8,110,22,62,5,Normal
82,7,279,16,70,12,Normal
112,6,235,33,109,3,Normal
218,7,509,25,208,10,Normal
186,6,463,21,173,8,Normal
100,6,280,41,81,9,Normal
103,8,219,37,88,15,Normal
131,6,312,53,116,15,Normal
121,5,307,56,106,15,Normal
108,6,258,42,104,4,Normal
143,7,318,79,138,5,Normal
158,7,411,245,153,5,Normal
121,7,319,48,107,14,Normal
123,8,415,53,111,12,Normal
123,8,316,45,112,11,Normal
83,6,155,36,73,10,Normal
101,7,205,53,88,13,Normal
85,6,194,73,62,23,Normal
64,6,163,30,60,4,Normal
80,6,163,46,70,10,Normal
67,7,118,30,63,4,Normal
125,8,281,70,103,22,Normal
174,6,633,68,157,17,Normal
79,7,183,38,73,6,Normal
104,5,229,37,88,16,Normal
